id,summary
id117hr91,"Designates the facility of the United States Postal Service located at 810 South Pendleton Street in Easley, South Carolina, as the ""Private First Class Barrett Lyle Austin Post Office Building."""
id117hr187,Provides for the relief of Victoria Galindo Lopez.
id117hr92,"Designates the facility of the United States Postal Service located at 110 Johnson Street in Pickens, South Carolina, as the ""Specialist Four Charles Johnson Post Office."""
id117hr207,"Designates the facility of the United States Postal Service located at 215 1st Avenue in Amory, Mississippi, as the ""Command Sergeant Major Lawrence E. 'Rabbit' Kennedy Post Office Building."""
id117hr209,"Designates the facility of the United States Postal Service located at 305 Highway 15 North in Pontotoc, Mississippi, as the ""Lance Corporal Marc Lucas Tucker Post Office Building."""
id117hr208,"Designates the facility of the United States Postal Service located at 500 West Main Street, Suite 102 in Tupelo, Mississippi, as the ""Colonel Carlyle 'Smitty' Harris Post Office."""
id117hr203,"Designates the facility of the United States Postal Service located at 4020 Broadway Street in Houston, Texas, as the ""Benny C. Martinez Post Office Building."""
id117hr224,"Designates the facility of the United States Postal Service located at 5302 Galveston Road in Houston, Texas, as the ""Vanessa Guillen Post Office Building."""
id117hr228,"Designates the facility of the United States Postal Service located at 2141 Ferry Street in Anderson, California, as the ""Norma Comnick Post Office Building."""
id117hr22,"<p><b>Congressional Budget Justification Transparency Act of 2021</b></p> <p>This bill requires federal agencies to make budget justification materials available to the public on a website. The bill also requires the Office of Management and Budget to make certain details regarding the materials available to the public, including a list of the agencies that submit budget justification materials to Congress, the dates that the materials are submitted to Congress and posted online, and links to the materials."
id117hr23,"<p><b>Inspector General Protection Act</b></p> <p>This bill requires the President to notify Congress each time the President places an inspector general on nonduty status.</p> <p>If the President fails to make a formal nomination for a vacant inspector general position within 210 days after the vacancy occurred, the President shall communicate to Congress within 30 days after the end of such period (1) the reasons why the President has not yet made a formal nomination, and (2) a target date for making a formal nomination.</p> <ul> </ul>"
id117hr27,"<p><b>Settlement Agreement Information Database Act of 2021</b></p> <p>This bill requires executive agencies to submit information regarding settlement agreements to a public database. Specifically, an agency must submit information regarding any settlement agreement (including a consent decree) entered into by the agency related to an alleged violation of federal law. If an agency determines that information regarding an agreement must remain confidential to protect the public interest, the agency must publish an explanation of why the information is confidential.</p>"
id117hr264,"Designates the facility of the United States Postal Service located at 1101 Charlotte Street in Georgetown, South Carolina, as the ""Joseph Hayne Rainey Memorial Post Office Building."""
id117hr28,"<p><b>Protecting Life in Crisis Act</b></p> <p>This bill specifies that federal funds allocated for COVID-19 (i.e., coronavirus disease 2019) response efforts may not, in general, be used for abortions. Current law (specifically, language that has historically been included in certain appropriations bills, commonly referred to as the Hyde Amendment) generally prohibits the use of federal funds for abortions. </p> <p>The bill also restricts the use of federal tax credits or other federal funding for health insurance coverage if the coverage includes abortions.</p>"
id117hr49,"<p>This bill redesignates the Pulse Memorial located at 1912 South Orange Avenue in Orlando, Florida, as the &quot;National Pulse Memorial.&quot;</p>"
id117hr44,"<p>This bill grants exclusive jurisdiction to the U.S. District Court for the District of Columbia over (1) cases arising under immigration laws, or (2) claims by foreign nationals challenging an order of removal or another action authorized under the Immigration and Nationality Act. </p>"
id117hr37,"<p><b>Voter Integrity Protection Act</b></p> <p>This bill imposes additional immigration-related penalties for aliens who vote in an election for federal office.</p> <p> It shall be an aggravated felony for an alien who is unlawfully present to violate an existing prohibition against an alien voting in a federal election. (An aggravated felony conviction carries various immigration consequences, such as rendering the alien inadmissible, deportable, and barred from establishing good moral character for naturalization.)</p> <p>An alien who is unlawfully present and who knowingly violates the prohibition against voting in a federal election shall be deportable.</p>"
id117hr24,"<p><b>Federal Reserve Transparency Act of 2021</b></p> <p>This bill establishes requirements regarding audits of certain financial agencies performed by the Government Accountability Office (GAO).</p> <p>Specifically, the bill directs the GAO to complete, within 12 months, an audit of the Federal Reserve Board and Federal Reserve banks. In addition, the bill allows the GAO to audit the Federal Reserve Board and Federal Reserve banks with respect to (1) international financial transactions; (2) deliberations, decisions,&nbsp;or actions on monetary policy matters; (3) transactions made under the direction of the Federal Open Market Committee; and (4) discussions or communications among Federal Reserve officers, board members, and employees regarding any of these matters. </p>"
